구별,소계,인구수,한국인,외국인,고령자,외국인비율,고령자비율,오차
강남구,3238,561052,556164,4888,65060,0.8712204929311365,11.596073091264268,1549.2003260063495
강동구,1010,440359,436223,4136,56161,0.9392336707095802,12.753457974062071,-544.6423220628246
강북구,831,328002,324479,3523,56530,1.0740788165925819,17.23465100822556,-598.7509232999155
강서구,911,608255,601691,6564,76032,1.0791526580134976,12.500020550591445,-830.268578430451
관악구,2109,520929,503297,17632,70046,3.384722294209,13.44636217219621,464.7993949790366
광진구,878,372298,357703,14595,43953,3.920246684107892,11.805865194011249,-600.9885266499678
구로구,1884,441559,410742,30817,58794,6.979135291093602,13.315094925027008,328.0238075195291
금천구,1348,253491,235154,18337,34170,7.233787392846295,13.47976851249157,1.072425607790592
노원구,1566,558075,554403,3672,74243,0.6579760784840748,13.303409040003583,-119.49056379920603
도봉구,825,346234,344166,2068,53488,0.5972839178128087,15.44851170017965,-625.0168611786889
동대문구,1870,366011,350647,15364,55718,4.1976880476269836,15.223039744707126,397.99984277981775
동작구,1302,408493,396217,12276,57255,3.0051922554364454,14.016152051565141,-217.2213931222259
마포구,980,385783,374915,10868,49615,2.817127763535459,12.860857010288168,-513.9778954682686
서대문구,1254,325028,312800,12228,49266,3.7621374158534033,15.15746335700309,-172.4451477815153
서초구,2297,445401,441102,4299,53205,0.9651976533505762,11.945415479534173,736.753199065698
성동구,1327,312711,304808,7903,41273,2.5272535983703803,13.198448407635166,-85.7540795030568
성북구,1651,455407,444055,11352,66251,2.4927153074063417,14.547646391030442,79.63094289989021
송파구,1081,671173,664496,6677,76582,0.9948254771869548,11.410172936038846,-730.2056275450118
양천구,2482,475018,471154,3864,55234,0.8134428590074482,11.627769895035557,888.8321655995046
영등포구,1277,402024,368550,33474,53981,8.326368575010447,13.427307822418562,-235.0307200124305
용산구,2096,244444,229161,15283,36882,6.252147731177693,15.088118342033349,759.1286969981627
은평구,2108,491202,486794,4408,74559,0.8973904829377731,15.178887708111938,496.84269990018083
종로구,1619,164257,154770,9487,26182,5.775705144986211,15.939655539794348,371.26125298133593
중구,1023,134593,125709,8884,21384,6.600640449354721,15.887899073503078,-191.76547029444623
중랑구,916,412780,408226,4554,59262,1.1032511265080673,14.356800232569409,-607.9866451892674
